date,latitude,longitude,temperature_2m,precipitation,wind_gusts_10m,cape
2025-02-04 15:00:00+00:00,40.33,-3.85,11.5695,0.0,14.759999,0.0
2025-02-04 16:00:00+00:00,40.33,-3.85,11.6195,0.0,12.959999,0.0
2025-02-04 17:00:00+00:00,40.33,-3.85,11.3695,0.0,11.159999,0.0
2025-02-04 18:00:00+00:00,40.33,-3.85,9.5695,0.0,8.64,0.0
2025-02-02 00:00:00+00:00,40.33,-3.84,2.3195,0.0,10.799999,0.0
2025-02-02 01:00:00+00:00,40.33,-3.84,2.5695,0.0,12.599999,0.0
2025-02-02 02:00:00+00:00,40.33,-3.84,1.9195,0.0,8.28,0.0
2025-02-02 03:00:00+00:00,40.33,-3.84,0.7195,0.0,9.36,0.0
2025-02-02 04:00:00+00:00,40.33,-3.84,1.4195,0.0,8.64,0.0
2025-02-02 05:00:00+00:00,40.33,-3.84,1.6695,0.0,5.3999996,0.0
2025-02-02 06:00:00+00:00,40.33,-3.84,0.9695,0.0,7.5599995,0.0
2025-02-02 07:00:00+00:00,40.33,-3.84,1.2695,0.0,11.5199995,0.0
2025-02-02 08:00:00+00:00,40.33,-3.84,1.1195,0.0,12.24,0.0
2025-02-02 09:00:00+00:00,40.33,-3.84,2.3695,0.0,11.5199995,0.0
2025-02-02 10:00:00+00:00,40.33,-3.84,3.7195,0.0,9.36,0.0
2025-02-02 11:00:00+00:00,40.33,-3.84,5.6695,0.0,9.72,0.0
2025-02-02 12:00:00+00:00,40.33,-3.84,7.5195,0.0,20.16,0.0
2025-02-02 13:00:00+00:00,40.33,-3.84,8.669499,0.0,18.72,0.0
2025-02-02 14:00:00+00:00,40.33,-3.84,10.0695,0.0,22.68,10.0
2025-02-02 15:00:00+00:00,40.33,-3.84,9.5695,0.0,24.119999,20.0
2025-02-02 16:00:00+00:00,40.33,-3.84,9.419499,0.0,34.2,10.0
2025-02-02 17:00:00+00:00,40.33,-3.84,8.7695,0.0,37.079998,0.0
2025-02-02 18:00:00+00:00,40.33,-3.84,7.2695,0.0,20.519999,40.0
2025-02-02 19:00:00+00:00,40.33,-3.84,6.4694996,0.0,7.5599995,70.0
2025-02-02 20:00:00+00:00,40.33,-3.84,5.8694997,0.0,4.68,100.0
2025-02-02 21:00:00+00:00,40.33,-3.84,5.6695,0.0,8.28,30.0
2025-02-02 22:00:00+00:00,40.33,-3.84,5.6695,0.0,16.56,30.0
2025-02-02 23:00:00+00:00,40.33,-3.84,5.2695,0.0,21.599998,40.0
2025-02-03 00:00:00+00:00,40.33,-3.84,5.6695,0.0,34.2,30.0
2025-02-03 01:00:00+00:00,40.33,-3.84,5.2695,0.0,35.28,30.0
2025-02-03 02:00:00+00:00,40.33,-3.84,4.8195,0.0,35.28,20.0
2025-02-03 03:00:00+00:00,40.33,-3.84,4.1194997,0.0,29.519999,20.0
2025-02-03 04:00:00+00:00,40.33,-3.84,3.4695,0.0,29.88,20.0
2025-02-03 05:00:00+00:00,40.33,-3.84,2.9695,0.0,29.88,0.0
2025-02-03 06:00:00+00:00,40.33,-3.84,2.7695,0.0,28.08,0.0
2025-02-03 07:00:00+00:00,40.33,-3.84,2.6195,0.0,24.84,0.0
2025-02-03 08:00:00+00:00,40.33,-3.84,2.5695,0.0,23.039999,0.0
2025-02-03 09:00:00+00:00,40.33,-3.84,4.1695,0.0,21.599998,0.0
2025-02-03 10:00:00+00:00,40.33,-3.84,6.0695,0.0,27.72,0.0
2025-02-03 11:00:00+00:00,40.33,-3.84,7.3195,0.0,30.239998,0.0
2025-02-03 12:00:00+00:00,40.33,-3.84,8.5195,0.0,30.960001,20.0
2025-02-03 13:00:00+00:00,40.33,-3.84,9.2195,0.0,28.08,0.0
2025-02-03 14:00:00+00:00,40.33,-3.84,9.9695,0.0,24.48,0.0
2025-02-03 15:00:00+00:00,40.33,-3.84,10.5195,0.0,19.44,0.0
2025-02-03 16:00:00+00:00,40.33,-3.84,10.7195,0.0,18.359999,0.0
2025-02-03 17:00:00+00:00,40.33,-3.84,9.9695,0.0,19.08,0.0
2025-02-03 18:00:00+00:00,40.33,-3.84,7.6695,0.0,15.4800005,0.0
2025-02-03 19:00:00+00:00,40.33,-3.84,6.1194997,0.0,11.879999,0.0
2025-02-03 20:00:00+00:00,40.33,-3.84,5.2194996,0.0,12.599999,0.0
2025-02-03 21:00:00+00:00,40.33,-3.84,4.7194996,0.0,15.119999,0.0
2025-02-03 22:00:00+00:00,40.33,-3.84,4.4195,0.0,16.56,0.0
2025-02-03 23:00:00+00:00,40.33,-3.84,4.3694997,0.0,17.64,0.0
2025-02-04 00:00:00+00:00,40.33,-3.84,3.8695,0.0,17.28,0.0
2025-02-04 01:00:00+00:00,40.33,-3.84,3.5195,0.0,17.28,0.0
2025-02-04 02:00:00+00:00,40.33,-3.84,2.9195,0.0,17.28,0.0
2025-02-04 03:00:00+00:00,40.33,-3.84,2.4195,0.0,15.119999,0.0
2025-02-04 04:00:00+00:00,40.33,-3.84,2.1195,0.0,13.32,0.0
2025-02-04 05:00:00+00:00,40.33,-3.84,1.9695001,0.0,11.879999,0.0
2025-02-04 06:00:00+00:00,40.33,-3.84,1.6195,0.0,12.24,0.0
2025-02-04 07:00:00+00:00,40.33,-3.84,1.6695,0.0,12.24,0.0
2025-02-04 08:00:00+00:00,40.33,-3.84,1.9195,0.0,13.679999,0.0
2025-02-04 09:00:00+00:00,40.33,-3.84,3.8195,0.0,13.32,0.0
2025-02-04 10:00:00+00:00,40.33,-3.84,5.8195,0.0,12.959999,0.0
2025-02-04 11:00:00+00:00,40.33,-3.84,7.3195,0.0,11.879999,0.0
2025-02-04 12:00:00+00:00,40.33,-3.84,8.5695,0.0,8.64,0.0
2025-02-04 13:00:00+00:00,40.33,-3.84,9.6195,0.0,9.0,0.0
2025-02-04 14:00:00+00:00,40.33,-3.84,10.8695,0.0,13.32,0.0
2025-02-04 15:00:00+00:00,40.33,-3.84,11.3195,0.0,14.4,0.0
2025-02-04 16:00:00+00:00,40.33,-3.84,11.3695,0.0,12.599999,0.0
2025-02-04 17:00:00+00:00,40.33,-3.84,11.0195,0.0,10.799999,0.0
2025-02-04 18:00:00+00:00,40.33,-3.84,8.919499,0.0,7.5599995,0.0
2025-02-02 00:00:00+00:00,40.33,-3.83,2.4325001,0.0,10.440001,0.0
2025-02-02 01:00:00+00:00,40.33,-3.83,2.5825,0.0,13.32,0.0
2025-02-02 02:00:00+00:00,40.33,-3.83,2.1825001,0.0,7.92,0.0
2025-02-02 03:00:00+00:00,40.33,-3.83,0.73249996,0.0,8.64,0.0
2025-02-02 04:00:00+00:00,40.33,-3.83,1.4825001,0.0,9.0,0.0
2025-02-02 05:00:00+00:00,40.33,-3.83,1.6325,0.0,5.04,0.0
